0 90.88043 90.01573
10 91.15414 90.02062
20 91.51272 90.02704
30 91.98231 90.03545
40 92.597 90.04646
50 93.40117 90.06089
60 94.45241 90.07977
70 95.82532 90.10449
80 97.61606 90.1368
90 99.9481 90.17901
100 102.97897 90.23409
110 106.90821 90.30586
120 111.98635 90.39919
130 118.52466 90.52031
140 126.90526 90.67702
150 137.59089 90.87912
160 151.13384 91.13869
170 168.1834 91.4705
180 189.49155 91.89239
190 215.91723 92.42555
200 248.42967 93.09485
210 288.1117 93.92906
220 336.16405 94.96091
230 393.91087 96.2272
240 462.8061 97.76872
250 544.43903 99.63016
260 640.5359 101.85989
270 752.95254 104.50983
280 883.65133 107.63519
290 1034.65313 111.29424
300 1207.95281 115.548
310 1405.38481 120.45973
320 1628.42492 126.09413
330 1877.91816 132.51603
340 2153.73243 139.78823
350 2454.35877 147.96851
360 2776.51159 157.10545
370 3114.82323 167.23332
380 3461.7625 178.36644
390 3807.90942 190.49393
400 4142.6618 203.57586
410 4455.32441 217.54211
420 4736.37729 232.29474
430 4978.61406 247.7138
440 5177.85617 263.66569
450 5333.09205 280.01261
460 5446.08508 296.62124
470 5520.64219 313.36963
480 5561.77856 330.15147
490 5574.9664 346.87801
500 5565.5689 363.47805
510 5538.48017 379.8965
520 5497.94299 396.09243
530 5447.49585 412.03664
540 5390.00177 427.70949
550 5327.7208 443.09879
560 5262.39982 458.19807
570 5195.36363 473.00517
580 5127.59854 487.52103
590 5059.82477 501.74883
600 4992.55662 515.6933
610 4926.15134 529.36016
620 4860.8478 542.75576
630 4796.79684 555.88677
640 4734.08457 568.76001
650 4672.75031 581.38226
660 4612.80008 593.7602
670 4554.21673 605.9003
680 4496.96754 617.80882
690 4441.00976 629.49178
700 4386.29468 640.95492
710 4332.77052 652.20373
720 4280.38455 663.24343
730 4229.08448 674.07901
740 4178.81949 684.71519
750 4129.54077 695.1565
760 4081.20199 705.40724
770 4033.75942 715.4715
780 3987.17206 725.3532
790 3941.40161 735.05609
800 3896.41237 744.58374
810 3852.17117 753.93958
820 3808.64723 763.1269
830 3765.81198 772.14886
840 3723.63897 781.00851
850 3682.10366 789.70876
860 3641.18333 798.25244
870 3600.85691 806.64228
880 3561.10487 814.88091
890 3521.90907 822.97087
900 3483.25269 830.91465
910 3445.1201 838.71463
920 3407.49677 846.37314
930 3370.36916 853.89244
940 3333.7247 861.27474
950 3297.55165 868.52217
960 3261.83908 875.63682
970 3226.57676 882.62074
980 3191.75519 889.47591
990 3157.36543 896.20428
1000 3123.39917 902.80774
1010 3089.8486 909.28816
1020 3056.70642 915.64736
1030 3023.96578 921.88712
1040 2991.62028 928.0092
1050 2959.66388 934.01532
1060 2928.09094 939.90715
1070 2896.89614 945.68637
1080 2866.07449 951.35459
1090 2835.62129 956.91341
1100 2805.53212 962.36443
1110 2775.80282 967.70917
1120 2746.42947 972.94918
1130 2717.40835 978.08596
1140 2688.73599 983.12099
1150 2660.40907 988.05574
1160 2632.42448 992.89164
1170 2604.77927 997.63012
1180 2577.47064 1002.27259
1190 2550.49593 1006.82043
1200 2523.85263 1011.27502
1210 2497.53835 1015.6377
1220 2471.55081 1019.90983
1230 2445.88783 1024.09272
1240 2420.54734 1028.18768
1250 2395.52735 1032.19601
1260 2370.82597 1036.11898
1270 2346.44136 1039.95787
1280 2322.37176 1043.71393
1290 2298.61548 1047.38839
1300 2275.17087 1050.9825
1310 2252.03633 1054.49746
1320 2229.21032 1057.93449
1330 2206.69132 1061.29478
1340 2184.47785 1064.57951
1350 2162.56845 1067.78985
1360 2140.9617 1070.92697
1370 2119.65618 1073.99202
1380 2098.65048 1076.98614
1390 2077.94323 1079.91045
1400 2057.53302 1082.76609
1410 2037.41847 1085.55415
1420 2017.5982 1088.27575
1430 1998.0708 1090.93197
1440 1978.83487 1093.5239
1450 1959.88899 1096.0526
1460 1941.23171 1098.51915
1470 1922.86159 1100.92459
1480 1904.77715 1103.26997
1490 1886.97687 1105.55632
1500 1869.45922 1107.78467
1510 1852.22265 1109.95603
1520 1835.26554 1112.07142
1530 1818.58628 1114.13183
1540 1802.18319 1116.13825
1550 1786.05457 1118.09165
1560 1770.19867 1119.99301
1570 1754.6137 1121.8433
1580 1739.29783 1123.64345
1590 1724.24918 1125.39441
1600 1709.46584 1127.09711
1610 1694.94585 1128.75248
1620 1680.68717 1130.36143
1630 1666.68777 1131.92486
1640 1652.94553 1133.44367
1650 1639.4583 1134.91874
1660 1626.22387 1136.35094
1670 1613.24 1137.74113
1680 1600.50439 1139.09018
1690 1588.0147 1140.39893
1700 1575.76854 1141.6682
1710 1563.76347 1142.89883
1720 1551.99702 1144.09163
1730 1540.46666 1145.24739
1740 1529.16983 1146.36692
1750 1518.10392 1147.451
1760 1507.26627 1148.50039
1770 1496.65422 1149.51587
1780 1486.26502 1150.49817
1790 1476.09594 1151.44804
1800 1466.14416 1152.36622
1810 1456.40687 1153.25341
1820 1446.88122 1154.11033
1830 1437.56432 1154.93767
1840 1428.45326 1155.73613
1850 1419.54512 1156.50638
1860 1410.83693 1157.24908
1870 1402.32572 1157.96488
1880 1394.00851 1158.65444
1890 1385.88229 1159.31838
1900 1377.94403 1159.95732
1910 1370.19072 1160.57188
1920 1362.6193 1161.16266
1930 1355.22673 1161.73024
1940 1348.00998 1162.27521
1950 1340.96598 1162.79814
1960 1334.09169 1163.29957
1970 1327.38407 1163.78006
1980 1320.84006 1164.24015
1990 1314.45664 1164.68036
2000 1308.23079 1165.1012
2010 1302.15948 1165.50319
2020 1296.23973 1165.88681
